sample_num,level,sample_path,sample_gt
0,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_39_sample_69,yes
1,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_11_sample_4,yes
2,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_12_sample_18,yes
3,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_29_sample_94,no
4,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_46_sample_77,no
5,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_41_sample_80,yes
6,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_45_sample_82,no
7,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_1_sample_86,no
8,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_41_sample_43,no
9,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_20_sample_78,yes
10,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_11_sample_18,yes
11,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_18_sample_96,yes
12,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_36_sample_65,no
13,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_10_sample_8,yes
14,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_28_sample_80,yes
15,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_25_sample_91,no
16,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_11_sample_91,yes
17,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_17_sample_20,yes
18,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_4_sample_74,no
19,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_7_sample_81,yes
20,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_40_sample_74,no
21,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_16_sample_27,no
22,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_13_sample_83,no
23,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_5_sample_66,no
24,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_32_sample_70,yes
25,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_19_sample_53,yes
26,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_15_sample_88,no
27,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_41_sample_84,no
28,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_17_sample_78,yes
29,base,./home/kalpit/cnist-new/vids/109/baseline-_imgs_37_sample_9,no
0,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_33_sample_23,no
1,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_19_sample_37,yes
2,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_33_sample_94,no
3,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_41_sample_42,yes
4,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_9_sample_10,yes
5,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_1_sample_91,no
6,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_37_sample_6,yes
7,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_9_sample_19,yes
8,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_18_sample_39,yes
9,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_41_sample_34,no
10,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_41_sample_41,no
11,lev1,./home/kalpit/cnist-new/vids/109/ix1-_imgs_1_sample_25,yes
