sample_num,level,sample_path,sample_gt
0,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_36_sample_84/1000-1600.webm,yes
1,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_44_sample_71/1000-1600.webm,yes
2,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_46_sample_81/1000-1600.webm,yes
3,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_6_sample_62/1000-1600.webm,no
4,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_47_sample_28/1000-1600.webm,yes
5,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_46_sample_95/1000-1600.webm,yes
6,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_21_sample_33/1000-1600.webm,yes
7,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_28_sample_28/1000-1600.webm,yes
8,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_50_sample_3/1000-1600.webm,yes
9,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_29_sample_1/1000-1600.webm,no
10,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_5_sample_31/1000-1600.webm,no
11,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_22_sample_16/1000-1600.webm,yes
12,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_16_sample_40/1000-1600.webm,yes
13,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_15_sample_78/1000-1600.webm,no
14,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_35_sample_58/1000-1600.webm,no
15,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_45_sample_69/1000-1600.webm,no
16,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_48_sample_43/1000-1600.webm,yes
17,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_11_sample_47/1000-1600.webm,no
18,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_31_sample_53/1000-1600.webm,no
19,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_4_sample_16/1000-1600.webm,yes
20,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_30_sample_89/1000-1600.webm,no
21,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_46_sample_72/1000-1600.webm,no
22,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_35_sample_96/1000-1600.webm,no
23,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_13_sample_33/1000-1600.webm,no
24,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_16_sample_73/1000-1600.webm,yes
25,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_26_sample_20/1000-1600.webm,no
26,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_19_sample_24/1000-1600.webm,no
27,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_28_sample_82/1000-1600.webm,yes
28,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_9_sample_95/1000-1600.webm,yes
29,base,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix2_imgs_17_sample_27/1000-1600.webm,no
0,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_48_sample_72/1000-1600.webm,no
1,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_36_sample_41/1000-1600.webm,yes
2,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_19_sample_50/1000-1600.webm,no
3,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_5_sample_72/1000-1600.webm,yes
4,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_13_sample_29/1000-1600.webm,no
5,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_7_sample_25/1000-1600.webm,yes
6,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_34_sample_43/1000-1600.webm,yes
7,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_1_sample_24/1000-1600.webm,yes
8,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_15_sample_7/1000-1600.webm,yes
9,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_40_sample_2/1000-1600.webm,no
10,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_29_sample_87/1000-1600.webm,yes
11,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_45_sample_53/1000-1600.webm,no
12,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_1_sample_18/1000-1600.webm,no
13,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_44_sample_92/1000-1600.webm,yes
14,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_46_sample_49/1000-1600.webm,no
15,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_34_sample_59/1000-1600.webm,no
16,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_3_sample_18/1000-1600.webm,yes
17,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_20_sample_59/1000-1600.webm,yes
18,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_31_sample_17/1000-1600.webm,no
19,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_25_sample_46/1000-1600.webm,yes
20,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_4_sample_79/1000-1600.webm,yes
21,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_10_sample_77/1000-1600.webm,no
22,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_30_sample_95/1000-1600.webm,no
23,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_27_sample_39/1000-1600.webm,yes
24,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_9_sample_72/1000-1600.webm,yes
25,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_17_sample_97/1000-1600.webm,no
26,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_6_sample_59/1000-1600.webm,no
27,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_22_sample_70/1000-1600.webm,no
28,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_4_sample_83/1000-1600.webm,no
29,lev1,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/baseline-_imgs_41_sample_29/1000-1600.webm,yes
0,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_32_sample_90/1000-1600.webm,yes
1,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_17_sample_70/1000-1600.webm,yes
2,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_5_sample_88/1000-1600.webm,yes
3,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_38_sample_42/1000-1600.webm,no
4,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_11_sample_9/1000-1600.webm,no
5,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_11_sample_70/1000-1600.webm,no
6,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_21_sample_6/1000-1600.webm,no
7,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_2_sample_31/1000-1600.webm,yes
8,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_49_sample_21/1000-1600.webm,yes
9,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_35_sample_49/1000-1600.webm,no
10,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_36_sample_48/1000-1600.webm,no
11,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_49_sample_6/1000-1600.webm,yes
12,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_36_sample_40/1000-1600.webm,no
13,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_24_sample_51/1000-1600.webm,yes
14,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_39_sample_52/1000-1600.webm,no
15,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_19_sample_58/1000-1600.webm,yes
16,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_28_sample_63/1000-1600.webm,no
17,lev2,/opt/lampp/cnist-experiment/home/kalpit/cnist-new/vids/107/ix1-_imgs_16_sample_31/1000-1600.webm,yes
