sample_num,level,sample_path,sample_gt
0,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_67,no
1,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_10,no
2,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_31,yes
3,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_24,no
4,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_14,no
5,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_6,no
6,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_95,yes
7,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_25,no
8,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_59,no
9,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_45,no
10,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_68,yes
11,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_62,yes
12,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_54,yes
13,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_95,yes
14,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_31,yes
15,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_2,yes
16,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_4,no
17,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_87,yes
18,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_79,yes
19,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_11,no
20,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_37,yes
21,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_91,no
22,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_75,yes
23,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_63,no
24,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_8,yes
25,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_14_sample_90,no
26,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_30,no
27,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_84,no
28,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_61,yes
29,base,./home/kalpit/cnist-try/vids/95/ix2_imgs_2_sample_5,yes
0,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_48,yes
1,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_9,yes
2,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_93,yes
3,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_48,yes
4,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_55,no
5,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_87,no
6,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_5,no
7,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_66,yes
8,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_58,yes
9,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_16,no
10,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_98,yes
11,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_27,yes
12,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_71,yes
13,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_63,yes
14,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_68,no
15,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_33,no
16,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_26,no
17,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_77,no
18,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_96,no
19,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_44,yes
20,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_20,no
21,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_11,yes
22,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_1,no
23,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_93,no
24,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_8,yes
25,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_32,no
26,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_35,yes
27,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_84,no
28,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_14_sample_36,no
29,lev1,./home/kalpit/cnist-try/vids/95/baseline-_imgs_2_sample_8,yes
0,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_33,no
1,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_64,yes
2,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_63,no
3,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_14,no
4,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_78,yes
5,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_29,no
6,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_37,yes
7,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_31,yes
8,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_38,no
9,lev2,./home/kalpit/cnist-try/vids/95/ix1-_imgs_2_sample_89,no
