imagePath,category,corrAns
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_5_1257.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_37_3730.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_46_744.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_47_1896.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_35_2565.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_43_2384.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_47_3180.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_4_783.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_45_2933.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_38_3917.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_40_3810.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_3_1874.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_1_2198.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_8_2612.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_10_1042.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_14_1079.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_40_1459.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_13_1447.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_2_1995.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_48_2800.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_44_388.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_12_1776.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_12_1254.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_39_307.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_36_2401.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_10_1187.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_3_3715.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_13_3307.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/baseline_36_808.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split2/ix1_7_1702.png,YES,right
